region,code,reg_pcn,ctryname,year,surveyid_year,timewp,fieldwork,survname,link,altname,survey_time,wbint_link,wbext_link,alt_link,pip_meta,surv_title,surv_producer,survey_coverage,datatype,use_imputed,use_microdata,use_bin,use_groupdata,rep_year,comparability,comp_note,preferable,display_cp,fieldwork_range,ref_year,newref,ref_year_des,wf_baseprice,wf_baseprice_note,wf_baseprice_des,wf_spatial_des,wf_spatial_var,cpi_replication,cpi_domain,cpi_domain_var,wf_currency_des,ppp_replication,ppp_domain,ppp_domain_var,wf_add_temp_des,wf_add_temp_var,wf_add_spatial_des,wf_add_spatial_var,tosplit,tosplit_var,inpovcal,oth_welfare1_type,oth_welfare1_var,gdp_domain,pce_domain,pop_domain,Note
EAP,CHN,EAP,China,1987,1987,,,CRHS-CUHS,CHN_1987_CRHS-CUHS,,1987,4937,,4938,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,I,0,0,0,1,1987,0,,,0,,1987,,,1987,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,1990,1990,,,CRHS-CUHS,CHN_1990_CRHS-CUHS,,1990,4940,,,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,1990,1,,,1,,1990,,,1990,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,1993,1993,,,CRHS-CUHS,CHN_1993_CRHS-CUHS,,1993,4943,,4944,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,1993,1,,,1,,1993,,,1993,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,1996,1996,,,CRHS-CUHS,CHN_1996_CRHS-CUHS,,1996,4952,,4949,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,1996,1,,,1,,1996,,,1996,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,1999,1999,,,CRHS-CUHS,CHN_1999_CRHS-CUHS,,1999,4958,,,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,1999,1,,,1,,1999,,,1999,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2002,2002,,,CRHS-CUHS,CHN_2002_CRHS-CUHS,,2002,4960,,4959,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,2002,1,,,1,,2002,,,2002,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2005,2005,,,CRHS-CUHS,CHN_2005_CRHS-CUHS,,2005,,,,1,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,2005,1,,,1,,2005,,,2005,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2008,2008,,,CRHS-CUHS,CHN_2008_CRHS-CUHS,,2008,,,,1,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,2008,1,,,1,,2008,,,2008,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2010,2010,,,CRHS-CUHS,CHN_2010_CRHS-CUHS,,2010,,,,1,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,2010,1,,,1,,2010,,,2010,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2011,2011,,,CRHS-CUHS,CHN_2011_CRHS-CUHS,,2011,,,,1,China Urban/Rural Household Survey,National Bureau of Statistics,N,C,0,0,0,1,2011,1,,,1,,2011,,,2011,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2012,2012,,,CNIHS,CHN_2012_CNIHS,,2012,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2012,1,,,1,,2012,,,2012,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2013,2013,,,CNIHS,CHN_2013_CNIHS,,2013,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2013,2,,,1,,2013,,,2013,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2014,2014,,,CNIHS,CHN_2014_CNIHS,,2014,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2014,2,,,1,,2014,,,2014,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2015,2015,,,CNIHS,CHN_2015_CNIHS,,2015,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2015,2,,,1,,2015,,,2015,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,2016,2016,,,CNIHS,CHN_2016_CNIHS,,2016,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2016,2,,,1,,2016,,,2016,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,Dec 11 2019
EAP,CHN,EAP,China,2017,2017,,,CNIHS,CHN_2017_CNIHS,,2017,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2017,2,,,1,,2017,x,,2017,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,Nov 12 2021
EAP,CHN,EAP,China,2018,2018,,,CNIHS,CHN_2018_CNIHS,,2018,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2018,2,,,1,,2018,x,,2018,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,Nov 12 2021
EAP,CHN,EAP,China,2019,2019,,,CNIHS,CHN_2019_CNIHS,,2019,,,,0,Integrated Urban and Rural Households Survey,National Bureau of Statistics,N,C,0,0,0,1,2019,2,,,1,,2019,x,,2019,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,Feb 22 2022
EAP,FJI,EAP,Fiji,2002,2002,,,HIES,FJI_2002_HIES,,2002-2003,1522,,,1,Household Income and Expenditure Survey 2002-2003,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji,N,c,0,1,0,0,2002,0,,,1,,2002.5,,-3,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,def not available yet
EAP,FJI,EAP,Fiji,2008,2008,,,HIES,FJI_2008_HIES,,2008-2009,9673,,,1,Household Income and Expenditure Survey 2008-2009,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji,N,c,0,1,0,0,2008,0,,,1,,2008.5,,-3,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,def not available yet
EAP,FJI,EAP,Fiji,2013,2013,,,HIES,FJI_2013_HIES,,2013-2014,10188,,,1,Household Income and Expenditure Survey 2013-2014,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji,N,c,0,1,0,0,2013,0,,,1,,2013.24,,-3,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,def not available yet
EAP,FJI,EAP,Fiji,2019,2019,,,HIES,FJI_2019_HIES,,2019-2020,,,,0,Household Income and Expenditure Survey 2019-2020,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji,N,c,0,1,0,0,2019,1,,,1,2019m2-2020m2,2019.15,x,-3,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,New Dec 14 2020
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2000,2000,,,CPH,FSM_2000_CPH,FSM_2000_PHC_v01_M,2000,5520,,,1,Census of Population and Housing 2000,"Department of Economic Affairs, Statistics Division",U,i,0,1,0,0,2000,0,,,0,,2000,,,2000,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,2,povcalnet
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2005,2005,,,HIES,FSM_2005_HIES,,2005,4219,,,1,Household Income and Expenditure Survey 2005,"Divison of Statistics - Office of Statistics, Budget and Economic Management, Overseas Development Assistance and Compact Management (SBOC) - Government of the Federated States of Micronesia",N,c,0,1,0,0,2005,1,,,1,,2005,,0,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,def not available yet
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2013,2013,,,HIES,FSM_2013_HIES,,2013,9675,,,1,Household Income and Expenditure Survey 2013,"Divison of Statistics - Office of Statistics, Budget and Economic Management, Overseas Development Assistance and Compact Management (SBOC) - Government of the Federated States of Micronesia",N,c,0,1,0,0,2013,2,,,1,,2013,,0,,,-9,1,def,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,def not available yet
EAP,IDN,EAP,Indonesia,1984,1984,,,SUSENAS,IDN_1984_SUSENAS,,1984,4903,,,1,National Socio-Economic Survey 1984,Central Bureau of Statistics (BPS) of Indonesia,N,C,0,0,0,1,1984,0,,,1,,1984,,,1984,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1987,1987,,,SUSENAS,IDN_1987_SUSENAS,,1987,4902,,,1,National Socio-Economic Survey 1987,Central Bureau of Statistics (BPS) of Indonesia,N,C,0,0,0,1,1987,0,,,1,,1987,,,1987,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1990,1990,,,SUSENAS,IDN_1990_SUSENAS,,1990,6434,,,1,National Socio-Economic Survey 1990,Central Bureau of Statistics (BPS) of Indonesia,N,C,0,0,0,1,1990,0,,,1,,1990,,,1990,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1993,1993,,,SUSENAS,IDN_1993_SUSENAS,,1993,6427,,,1,National Socio-Economic Survey 1993,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,1993,1,,,1,,1993,,,1993,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1996,1996,,,SUSENAS,IDN_1996_SUSENAS,,1996,6424,,,1,National Socio-Economic Survey 1996,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,1996,1,,,1,,1996,,,1996,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1998,1998,,,SUSENAS,IDN_1998_SUSENAS,,1998,6204,,,1,National Socio-Economic Survey 1998,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,1998,1,,,1,,1998,,,1998,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,1999,1999,,,SUSENAS,IDN_1999_SUSENAS,,1999,6203,,,1,National Socio-Economic Survey 1999,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,1999,1,,,1,,1999,,,1999,,-8,-9,,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,IDN,EAP,Indonesia,2000,2000,,,SUSENAS,IDN_2000_SUSENAS,,2000,6202,,,1,National Socio-Economic Survey 2000,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2000,2,,,1,,2000,,0,2000m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2001,2001,,,SUSENAS,IDN_2001_SUSENAS,,2001,6201,,,1,National Socio-Economic Survey 2001,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2001,2,,,1,,2001,,0,2001m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2002,2002,,,SUSENAS,IDN_2002_SUSENAS,IDN_2002_SUSENAS-FEB_v01_M,2002,6200,,,1,National Socio-Economic Survey 2002,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2002,2,,,1,,2002,,0,2002m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2003,2003,,,SUSENAS,IDN_2003_SUSENAS,IDN_2003_SUSENAS-FEB_v01_M,2003,6197,,,1,National Socio-Economic Survey 2003,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2003,2,,,1,,2003,,0,2003m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2004,2004,,,SUSENAS,IDN_2004_SUSENAS,IDN_2004_SUSENAS-FEB_v01_M,2004,6193,,,1,National Socio-Economic Survey 2004,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2004,2,,,1,,2004,,0,2004m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2005,2005,,,SUSENAS,IDN_2005_SUSENAS,IDN_2005_SUSENAS-FEB_v01_M,2005,6189,,,1,National Socio-Economic Survey 2005,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2005,3,,,1,,2005,,0,2005m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2006,2006,,,SUSENAS,IDN_2006_SUSENAS,IDN_2006_SUSENAS-FEB_v01_M,2006,6183,,,1,National Socio-Economic Survey 2006,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2006,3,,,1,,2006,,0,2006m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2007,2007,,,SUSENAS,IDN_2007_SUSENAS,IDN_2007_SUSENAS-FEB_v01_M,2007,6155,,,1,National Socio-Economic Survey 2007,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2007,3,,,1,,2007,,0,2007m2,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2008,2008,,,SUSENAS,IDN_2008_SUSENAS,IDN_2008_SUSENAS-MAR_v01_M,2008,6153,,,1,National Socio-Economic Survey 2008,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2008,3,,,1,,2008,,0,2008m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2009,2009,,,SUSENAS,IDN_2009_SUSENAS,IDN_2009_SUSENAS-MAR_v01_M,2009,6107,,,1,National Socio-Economic Survey 2009,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2009,3,,,1,,2009,,0,2009m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2010,2010,,,SUSENAS,IDN_2010_SUSENAS,,2010,2282,,,1,National Socio-Economic Survey 2010,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2010,3,,,1,,2010,,0,2010m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2011,2011,,,SUSENAS,IDN_2011_SUSENAS,IDN_2011_SUSENAS-MAR_v01_M,2011,3617,,,1,National Socio-Economic Survey 2011,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2011,4,,,1,,2011,,0,2011m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2012,2012,,,SUSENAS,IDN_2012_SUSENAS,IDN_2012_SUSENAS-MAR_v01_M,2012,3611,,,1,National Socio-Economic Survey 2012,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2012,4,,,1,,2012,,0,2012m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2013,2013,,,SUSENAS,IDN_2013_SUSENAS,IDN_2013_SUSENAS-MAR_v01_M_v02_A_EAPPOV,2013,9862,,,1,National Socio-Economic Survey 2013,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2013,4,,,1,,2013,,0,2013m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2014,2014,,,SUSENAS,IDN_2014_SUSENAS,IDN_2014_SUSENAS-MAR_v01_M_v02_A_EAPPOV,2014,9863,,,1,National Socio-Economic Survey 2014,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2014,4,,,1,,2014,,0,2014m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2015,2015,,,SUSENAS,IDN_2015_SUSENAS,IDN_2015_SUSENAS-MAR_v01_M_v03_A_EAPPOV,2015,10324,,,1,National Socio-Economic Survey 2015,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2015,5,,,1,,2015,,0,2015m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2016,2016,,,SUSENAS,IDN_2016_SUSENAS,,2016,10322,,,1,National Socio-Economic Survey 2016,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2016,5,,,1,,2016,,0,2016m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2017,2017,,,SUSENAS,IDN_2017_SUSENAS,,2017,10323,,,1,National Socio-Economic Survey 2017,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2017,5,,,1,,2017,,0,2017m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2018,2018,,,SUSENAS,IDN_2018_SUSENAS,,2018,,,,1,National Socio-Economic Survey 2018,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2018,5,,,1,,2018,,0,2018m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,def not available yet
EAP,IDN,EAP,Indonesia,2019,2019,,,SUSENAS,IDN_2019_SUSENAS,,2019,,,,0,National Socio-Economic Survey 2019,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2019,5,,,1,,2019,,0,2019m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,Nov 17 2020
EAP,IDN,EAP,Indonesia,2020,2020,,,SUSENAS,IDN_2020_SUSENAS,,2020,,,,0,National Socio-Economic Survey 2020,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2020,5,,,1,,2020,x,0,2020m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,Nov 12 2021
EAP,IDN,EAP,Indonesia,2021,2021,,,SUSENAS,IDN_2021_SUSENAS,,2021,,,,0,National Socio-Economic Survey 2021,Central Bureau of Statistics (BPS) of Indonesia,N,c,0,1,0,0,2021,5,,,1,,2021,x,0,2021m3,,-7,1,def,-9,1,,0,-9,2,urban,0,,0,,1,urban,1,,,2,2,2,Jan 10 2022
EAP,JPN,OHI,Japan,2008,2008,,,JHPS-LIS,JPN_2008_JHPS-LIS,,2008,,,,0,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies,N,I,0,0,1,0,2008,0,,,1,,2008,,,2008,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,JPN,OHI,Japan,2010,2010,,,JHPS-LIS,JPN_2010_JHPS-LIS,,2010,,,,0,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies,N,I,0,0,1,0,2010,0,,,1,,2010,,,2010,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,JPN,OHI,Japan,2013,2013,,,JHPS-LIS,JPN_2013_JHPS-LIS,,2013,,,,0,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies,N,I,0,0,1,0,2013,0,,,1,,2013,,,2013,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,KOR,OHI,"Korea, Rep.",2006,2006,,,HIES-FHES-LIS,KOR_2006_HIES-FHES-LIS,,2006,,,,0,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea,N,I,0,0,1,0,2006,0,,,1,,2006,,,2006,,-9,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,KOR,OHI,"Korea, Rep.",2008,2008,,,HIES-FHES-LIS,KOR_2008_HIES-FHES-LIS,,2008,,,,0,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea,N,I,0,0,1,0,2008,0,,,1,,2008,,,2008,,-9,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,KOR,OHI,"Korea, Rep.",2010,2010,,,HIES-FHES-LIS,KOR_2010_HIES-FHES-LIS,,2010,,,,0,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea,N,I,0,0,1,0,2010,0,,,1,,2010,,,2010,,-9,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
